Muscle Group;Exercise ;Equipment Required ;Force Type ;Experience Level ;Link
Tricep;Straight Bar Tricep Extension;Cable ;Push ;Beginner;https://www.muscleandstrength.com/exercises/tricep-extension.html?_gl=1*1ulm633*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NTkxMzMkbzEkZzEkdDE3NjM0NTk2ODIkajYwJGwwJGgw
Tricep;Seated Dumbbell Tricep Extension;Dumbbell;Push ;Beginner;https://www.muscleandstrength.com/exercises/two-arm-dumbbell-extension.html?_gl=1*shz201*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NTkxMzMkbzEkZzEkdDE3NjM0NTk2ODIkajYwJGwwJGgw
Tricep;Rope Tricep Extension;Cable ;Push ;Beginner;https://www.muscleandstrength.com/exercises/rope-tricep-extension.html?_gl=1*shz201*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NTkxMzMkbzEkZzEkdDE3NjM0NTk2ODIkajYwJGwwJGgw
Tricep;EZ-Bar Skullcrusher ;EZ Bar;Push ;Beginner;https://www.muscleandstrength.com/exercises/ez-bar-skullcrusher.html?_gl=1*1o4f9u*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NTkxMzMkbzEkZzEkdDE3NjM0NTk2ODIkajYwJGwwJGgw
Tricep;Tricep Dip ;Bodyweight ;Push ;Beginner;https://www.muscleandstrength.com/exercises/tricep-dip.html?_gl=1*145n2t8*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NTkxMzMkbzEkZzEkdDE3NjM0NTk2ODIkajYwJGwwJGgw
Tricep;Bent Over Dumbbell Kickback;Dumbbell ;Push ;Beginner;https://www.muscleandstrength.com/exercises/bent-over-dumbbell-kickback.html?_gl=1*1b2zgsi*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NTkxMzMkbzEkZzEkdDE3NjM0NTk2ODIkajYwJGwwJGgw
Tricep;Reverse Grip Cable Tricep Extension;Cable ;Push ;Beginner ;https://www.muscleandstrength.com/exercises/reverse-grip-tricep-extension.html?_gl=1*hhuics*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NTkxMzMkbzEkZzEkdDE3NjM0NTk2ODIkajYwJGwwJGgw
Tricep;High Pulley Overhead Tricep Extension;Cable ;Push ;Beginner ;https://www.muscleandstrength.com/exercises/overhead-tricep-extension.html?_gl=1*1wf5yiz*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NTkxMzMkbzEkZzEkdDE3NjM0NTk2ODIkajYwJGwwJGgw
Chest;Dumbbell Bench Press ;Dumbbell;Push ;Beginner ;https://www.muscleandstrength.com/exercises/chest?_gl=1*p4xv6y*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NTkxMzMkbzEkZzEkdDE3NjM0NTkyNjMkajYwJGwwJGgw
Chest;Incline Dumbbell Press ;Dumbbell;Push ;Beginner ;https://www.muscleandstrength.com/exercises/incline-dumbbell-bench-press.html?_gl=1*neinei*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NTkxMzMkbzEkZzEkdDE3NjM0NjA2ODkkajYwJGwwJGgw
Chest;Barbell Bench Press;Barbelle ;Push ;Intermediate ;https://www.muscleandstrength.com/exercises/barbell-bench-press.html?_gl=1*neinei*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NTkxMzMkbzEkZzEkdDE3NjM0NjA2ODkkajYwJGwwJGgw
Chest;Pec Deck ;Machine ;Push ;Beginner ;https://www.muscleandstrength.com/exercises/pec-dec.html?_gl=1*z2p82*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NTkxMzMkbzEkZzEkdDE3NjM0NjA2ODkkajYwJGwwJGgw
Chest;Standing Cable Fly ;Machine ;Push ;Beginner ;https://www.muscleandstrength.com/exercises/cable-crossovers-%28mid-chest%29.html?_gl=1*15eo4nw*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NTkxMzMkbzEkZzEkdDE3NjM0NjA2ODkkajYwJGwwJGgw
Chest;Cable Iron Cross;Machine ;Push ;Beginner ;https://www.muscleandstrength.com/exercises/cable-crossovers.html?_gl=1*15eo4nw*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NTkxMzMkbzEkZzEkdDE3NjM0NjA2ODkkajYwJGwwJGgw
Chest;Close Grip Dumbbell Press;Dumbbell;Push ;Intermediate ;https://www.muscleandstrength.com/exercises/close-grip-dumbbell-press.html?_gl=1*1w4sdnz*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NTkxMzMkbzEkZzEkdDE3NjM0NjA2ODkkajYwJGwwJGgw
Bicep;Standing Dumbbell Curl;Dumbbell;Pull;Beginner;https://www.muscleandstrength.com/exercises/standing-dumbbell-curl.html?_gl=1*13ju3o3*_up*MQ..*_ga*MTU4ODc1OTUyNy4xNzYzNDYwNTgw*_ga_EHWPJCEX93*czE3NjM0NjA1ODAkbzEkZzEkdDE3NjM0NjA2MDEkajM5JGwwJGgw
Bicep;Standing Hammer Curl;Dumbbell;Pull;Beginner;https://www.muscleandstrength.com/exercises/standing-hammer-curl.html?_gl=1*l8vvzv*_up*MQ..*_ga*MTU4ODc1OTUyNy4xNzYzNDYwNTgw*_ga_EHWPJCEX93*czE3NjM0NjA1ODAkbzEkZzEkdDE3NjM0NjA3MzYkajYwJGwwJGgw
Bicep;Incline Dumbbell Curl;Dumbbell;Pull ;Beginner;https://www.muscleandstrength.com/exercises/incline-dumbbell-curl.html?_gl=1*1xj3ep*_up*MQ..*_ga*MTYxNTcyMTMxLjE3NjM0NjA4MDU.*_ga_EHWPJCEX93*czE3NjM0NjA4MDUkbzEkZzAkdDE3NjM0NjA4MDUkajYwJGwwJGgw
Bicep;Cable Curl;Cable;Pull;Beginner;https://www.muscleandstrength.com/exercises/cable-curl.html?_gl=1*1y0yt7o*_up*MQ..*_ga*MTIyMzg2NTA2Mi4xNzYzNDYwODM1*_ga_EHWPJCEX93*czE3NjM0NjA4MzUkbzEkZzAkdDE3NjM0NjA4MzUkajYwJGwwJGgw
Bicep;EZ Bar Curl;EZ Bar;Pull;Beginner;https://www.muscleandstrength.com/exercises/ez-bar-curl.html?_gl=1*1nkf9rs*_up*MQ..*_ga*MTkyNDA0ODg1Mi4xNzYzNDYwODcz*_ga_EHWPJCEX93*czE3NjM0NjA4NzMkbzEkZzAkdDE3NjM0NjA4NzMkajYwJGwwJGgw
Bicep;Standing High Pulley Cable Curl;Cable;Pull;Intermediate;https://www.muscleandstrength.com/exercises/standing-high-pulley-cable-curl.html?_gl=1*1mqvs30*_up*MQ..*_ga*MTEzNDEwNDI5NS4xNzYzNDYwOTE1*_ga_EHWPJCEX93*czE3NjM0NjA5MTUkbzEkZzAkdDE3NjM0NjA5MTUkajYwJGwwJGgw
Bicep;Close Grip EZ Bar Curl;EZ Bar;Pull;Beginner;https://www.muscleandstrength.com/exercises/close-grip-ez-bar-curl.html?_gl=1*32k2jk*_up*MQ..*_ga*MjAyMTA4MzM2MC4xNzYzNDYwOTc0*_ga_EHWPJCEX93*czE3NjM0NjA5NzMkbzEkZzAkdDE3NjM0NjA5NzMkajYwJGwwJGgw
Bicep;Incline Bench Dumbbell Curl;Dumbbell;Pull;Beginner;https://www.muscleandstrength.com/exercises/incline-bench-dumbbell-curl.html?_gl=1*kian94*_up*MQ..*_ga*ODg4OTcwNzA2LjE3NjM0NjEwNDM.*_ga_EHWPJCEX93*czE3NjM0NjEwNDIkbzEkZzAkdDE3NjM0NjEwNDIkajYwJGwwJGgw
Lats;Lat Pull Down ;Cable ;Pull;Beginner ;https://www.muscleandstrength.com/exercises/lat-pull-down.html?_gl=1*uirz14*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjEwOTIkbzIkZzAkdDE3NjM0NjEwOTIkajYwJGwwJGgw
Lats;Straight Arm Lat Pull Down ;Cable ;Pull ;Beginner ;https://www.muscleandstrength.com/exercises/straight-arm-lat-pull-down.html?_gl=1*1x0n3cm*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjEwOTIkbzIkZzAkdDE3NjM0NjEwOTIkajYwJGwwJGgw
Lats;Reverse Grip Lat Pull Down ;Cable ;Pull;Beginner ;https://www.muscleandstrength.com/exercises/reverse-grip-lat-pull-down.html?_gl=1*1x0n3cm*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjEwOTIkbzIkZzAkdDE3NjM0NjEwOTIkajYwJGwwJGgw
Lats;V-Bar Pull Down ;Cable ;Pull;Beginner ;https://www.muscleandstrength.com/exercises/v-bar-pull-down?_gl=1*mzj3qn*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjEwOTIkbzIkZzAkdDE3NjM0NjEwOTIkajYwJGwwJGgw
Lats;Close Grip Lat Pull Down ;Cable ;Pull;Beginner ;https://www.muscleandstrength.com/exercises/close-grip-pull-down.html?_gl=1*1ihs8ox*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjEwOTIkbzIkZzAkdDE3NjM0NjEwOTIkajYwJGwwJGgw
Lats;Wide Grip Lat Pull Down;Cable ;Pull;Beginner ;https://www.muscleandstrength.com/exercises/wide-grip-pull-down?_gl=1*19qfb1u*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjEwOTIkbzIkZzAkdDE3NjM0NjEwOTIkajYwJGwwJGgw
Lats;Pull Up ;Cable ;Pull;Beginner ;https://www.muscleandstrength.com/exercises/pull-up?_gl=1*dzlnvg*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjEwOTIkbzIkZzAkdDE3NjM0NjEwOTIkajYwJGwwJGgw
Lats;Shotgun Row ;Cable ;Pull;Beginner ;https://www.muscleandstrength.com/exercises/standing-one-arm-cable-row.html?_gl=1*dzlnvg*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjEwOTIkbzIkZzAkdDE3NjM0NjEwOTIkajYwJGwwJGgw
Lats;Thibaudeau Kayak Row ;Cable ;Pull;Intermediate ;https://www.muscleandstrength.com/exercises/thibaudeau-kayak-row?_gl=1*s7rljo*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjEwOTIkbzIkZzAkdDE3NjM0NjEwOTIkajYwJGwwJGgw
Upper back ;Bent Over Dumbbell Row;Dumbbell;Pull ;Beginner;https://www.muscleandstrength.com/exercises/bent-over-dumbbell-row.html?_gl=1*17nhzdo*_up*MQ..*_ga*NDIyMzcxNTY4LjE3NjM0NjExOTA.*_ga_EHWPJCEX93*czE3NjM0NjExOTAkbzEkZzEkdDE3NjM0NjEyMDQkajQ2JGwwJGgw
Upper back ;Bent Over Row;Barbell;Pull ;Beginner;https://www.muscleandstrength.com/exercises/bent-over-barbell-row.html?_gl=1*9n543r*_up*MQ..*_ga*NDIyMzcxNTY4LjE3NjM0NjExOTA.*_ga_EHWPJCEX93*czE3NjM0NjExOTAkbzEkZzEkdDE3NjM0NjEyNTIkajYwJGwwJGgw
Upper back ;Seated Cable Row;Cable;Pull ;Beginner;https://www.muscleandstrength.com/exercises/seated-row.html?_gl=1*11855v*_up*MQ..*_ga*NDIyMzcxNTY4LjE3NjM0NjExOTA.*_ga_EHWPJCEX93*czE3NjM0NjExOTAkbzEkZzEkdDE3NjM0NjEyOTMkajYwJGwwJGgw
Upper back ;One-Arm Seated Cable Row;Cable;Pull ;Beginner;https://www.muscleandstrength.com/exercises/one-arm-cable-row.html?_gl=1*ns1dlz*_up*MQ..*_ga*NDIyMzcxNTY4LjE3NjM0NjExOTA.*_ga_EHWPJCEX93*czE3NjM0NjExOTAkbzEkZzEkdDE3NjM0NjEzMjUkajYwJGwwJGgw
Upper back ;Incline Bench Two Arm Dumbbell;Dumbbell;Pull ;Beginner;https://www.muscleandstrength.com/exercises/incline-bench-two-arm-dumbbell-row.html?_gl=1*1q63f95*_up*MQ..*_ga*MTE5MTUyMjU0OS4xNzYzNDYxNDIz*_ga_EHWPJCEX93*czE3NjM0NjE0MjMkbzEkZzAkdDE3NjM0NjE0MjMkajYwJGwwJGgw
Upper back ;Seated High Cable Row ;Cable;Pull ;Beginner;https://www.muscleandstrength.com/exercises/seated-high-cable-row.html?_gl=1*1ytm286*_up*MQ..*_ga*NzcwNzY3NDc0LjE3NjM0NjE0NjE.*_ga_EHWPJCEX93*czE3NjM0NjE0NjEkbzEkZzAkdDE3NjM0NjE0NjEkajYwJGwwJGgw
Lower back ;Dumbbell Deadlift;Dumbbell;Pull;Beginner;https://www.muscleandstrength.com/exercises/dumbbell-deadlift.html?_gl=1*1hsj9vf*_up*MQ..*_ga*MTM5MDI2MjEzMi4xNzYzNDYxNzMz*_ga_EHWPJCEX93*czE3NjM0NjE3MzMkbzEkZzEkdDE3NjM0NjE3NDIkajUxJGwwJGgw
Lower back ;Superman;Bodyweight;Pull;Beginner;https://www.muscleandstrength.com/exercises/superman?_gl=1*1xeeh45*_up*MQ..*_ga*MjAzNTIyNjQyMy4xNzYzNDYzMjE2*_ga_EHWPJCEX93*czE3NjM0NjMyMTUkbzEkZzAkdDE3NjM0NjMyMTUkajYwJGwwJGgw
Lower back ;90/90 Hip Crossover;Bodyweight;Pull;Beginner;https://www.muscleandstrength.com/exercises/90-90-hip-crossover?_gl=1*tngq64*_up*MQ..*_ga*ODgwODMwMTUzLjE3NjM0NjMyNTc.*_ga_EHWPJCEX93*czE3NjM0NjMyNTckbzEkZzAkdDE3NjM0NjMyNTckajYwJGwwJGgw
Lower back ;Rollover Into V-Sits;Bodyweight;Pull;Beginner;https://www.muscleandstrength.com/exercises/rollover-into-v-sits?_gl=1*ski4lo*_up*MQ..*_ga*MTE2NjgwNTQ3Mi4xNzYzNDYzMjc4*_ga_EHWPJCEX93*czE3NjM0NjMyNzgkbzEkZzAkdDE3NjM0NjMyNzgkajYwJGwwJGgw
Traps ;Dumbbell Shrug ;Dumbbell ;Pull;Beginner;https://www.muscleandstrength.com/exercises/dumbbell-shrugs.html?_gl=1*1a6ms5q*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjE1MTIkbzIkZzAkdDE3NjM0NjE1MTIkajYwJGwwJGgw
Traps ;Barbell Upright Row ;Barbell ;Pull;Beginner;https://www.muscleandstrength.com/exercises/upright-row.html?_gl=1*1j5apq5*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjE1MTIkbzIkZzAkdDE3NjM0NjE1MTIkajYwJGwwJGgw
Traps ;High Pull ;Barbell ;Pull;Intermediate ;https://www.muscleandstrength.com/exercises/high-pull?_gl=1*mc321f*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjE1MTIkbzIkZzAkdDE3NjM0NjE1MTIkajYwJGwwJGgw
Traps ;Inverted Shrug ;Barbell ;Pull;Intermediate ;https://www.muscleandstrength.com/exercises/inverted-shrug?_gl=1*t9eejx*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjE1MTIkbzIkZzAkdDE3NjM0NjE1MTIkajYwJGwwJGgw
Traps ;Trap Bar Shrug ;Trap Bar ;Pull ;Beginner;https://www.muscleandstrength.com/exercises/trap-bar-shrug?_gl=1*1yz2kcj*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjE1MTIkbzIkZzAkdDE3NjM0NjE1MTIkajYwJGwwJGgw
